"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18674,-0.020372,-0.042614,301.51,15.49,5.6367,-2.0045,0,0,0,1,0.00064292,1e-05,0,5.236e-13,47996
-0.18692,-0.053322,-0.019454,301.62,15.368,2.2024,-4.2568,0,0,0,1,0.00063991,1e-05,0,5.236e-13,59995
-0.18554,-0.012394,-0.0062765,301.35,19.097,2.0756,-4.1143,0,0,0,1,0.00063874,1e-05,0,5.236e-13,47996
-0.187,-0.010658,-0.056768,301.66,15.315,4.7964,-0.25978,0,0,0,1,0.00063455,1e-05,0,5.236e-13,59995
-0.18684,-0.051776,-0.05399,301.77,15.182,2.5544,-2.3046,0,0,0,1,0.00063363,1e-05,0,5.236e-13,59995
-0.18729,-0.051304,-0.050126,301.79,15.116,2.6892,-2.4638,0,0,0,1,0.00063049,1e-05,0,5.236e-13,59995
-0.18771,-0.019116,-0.052067,301.7,15.325,4.9256,-1.1439,0,0,0,1,0.00062751,1e-05,0,5.236e-13,47996
-0.18714,-0.044614,-0.04823,301.79,15.181,3.2561,-2.4444,0,0,0,1,0.00062617,1e-05,0,5.236e-13,59995
-0.1863,-0.027515,-0.0033091,301.51,16.865,1.153,-6.7481,0,0,0,1,0.0006246,1e-05,0,5.236e-13,59995
-0.18721,-0.034949,-0.058137,301.83,15.147,3.5248,-1.7097,0,0,0,1,0.00062316,1e-05,0,5.236e-13,59995
-0.1872,-0.023718,-0.040607,301.67,15.463,5.4184,-2.4834,0,0,0,1,0.0006225,1e-05,0,5.236e-13,59995
-0.18794,-0.069409,-0.0096897,301.89,15.124,0.75916,-3.673,0,0,0,1,0.00061779,1e-05,0,5.236e-13,59995
-0.18797,-0.032024,-0.059952,301.89,15.158,3.5803,-1.5333,0,0,0,1,0.0006157,1e-05,0,5.236e-13,47996
-0.18758,-0.052213,-0.043691,301.92,15.14,2.7317,-2.7422,0,0,0,1,0.00061203,1e-05,0,5.236e-13,59995
-0.18714,-0.025844,-0.0040846,301.64,17.014,1.3326,-6.5768,0,0,0,1,0.00060785,1e-05,0,5.236e-13,59995
-0.18703,-0.05236,-0.046018,301.97,15.089,2.686,-2.6226,0,0,0,1,0.00060732,1e-05,0,5.236e-13,47996
-0.18761,-0.0035269,-0.045364,301.8,15.483,6.0715,0.24505,0,0,0,1,0.00060556,1e-05,0,5.236e-13,47996
-0.18774,-0.063823,-0.013957,301.96,15.175,1.2605,-3.8323,0,0,0,1,0.00060531,1e-05,0,5.236e-13,47996
-0.18808,-0.056516,-0.031645,301.98,15.188,2.3658,-3.3342,0,0,0,1,0.00060222,1e-05,0,5.236e-13,59995
-0.18801,-0.036376,-0.054803,301.99,15.161,3.5738,-1.8887,0,0,0,1,0.00060156,1e-05,0,5.236e-13,59995
-0.18713,-0.030171,-0.039406,301.89,15.374,4.799,-2.939,0,0,0,1,0.00059907,1e-05,0,5.236e-13,59995
-0.18763,-0.049084,-0.0045607,301.89,15.377,1.2271,-5.4575,0,0,0,1,0.00059895,1e-05,0,5.236e-13,59995
